YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,NJ,New Jersey,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN04,,NMBR,RACE,AIAN,,,,
2016,2020,FL,Florida,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,427.2,427.2,,,425.7,428.8,Sex,Female,,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,PA,Pennsylvania,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,16.8,16.8,,,16.4,17.2,Sex,Male,,,,,POINT (-77.86070029399963 40.79373015200048),42,CAN,CAN01,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,NV,Nevada,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,104.2,104.2,,,99.3,109.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN08,,AGEADJRATE,RACE,API,,,,
2016,2020,CA,California,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,22.8,22.8,,,22.5,23.1,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN02,,CRDRATE,OVERALL,OVR,,,,
2015,2019,NC,North Carolina,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,12.5,12.5,,,12.1,12.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),37,CAN,CAN01,,AGEADJRATE,RACE,WHT,,,,
2015,2019,SD,South Dakota,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.5,1.5,,,1.1,2.1,Sex,Female,,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN03,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,IA,Iowa,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,46.7,46.7,,,45.2,48.2,Sex,Female,,,,,POINT (-93.81649055599968 42.46940091300047),19,CAN,CAN04,,CRDRATE,SEX,SEXF,,,,
2015,2019,MS,Mississippi,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN03,,CRDRATE,RACE,HIS,,,,
2015,2019,OK,Oklahoma,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,20.3,20.3,,,19.4,21.2,Sex,Male,,,,,POINT (-97.52107021399968 35.47203135600046),40,CAN,CAN05,,CRDRATE,SEX,SEXM,,,,
